ms,discovered,discovered_others
4908056,18,17
4920039,18,17
4932065,18,17
4944052,18,17
4956048,18,17
4968062,18,17
4980077,18,17
4992032,18,17
5004070,18,17
5016079,18,17
5028025,18,17
5040054,18,17
5052078,18,17
5064023,18,17
5076031,18,17
5088033,18,17
5100023,18,17
5112034,18,17
5124020,18,17
5136042,18,17
5148020,18,17
5160079,18,17
5172021,18,17
5184033,18,17
5196032,18,17
5208046,18,17
5220081,18,17
5232081,18,17
5244050,18,17
5256079,18,17
5268048,18,17
5280042,18,17
5292056,18,17
5304021,18,17
5316031,18,17
5328037,18,17
5340027,18,17
5352040,18,17
5364021,18,17
5376058,18,17
5388025,18,17
5400075,18,17
5412063,18,17
5424056,18,17
5436030,18,17
5448024,18,17
5460043,18,17
5472066,18,17
5484023,18,17
5496036,18,17
5508076,18,17
5520022,18,17
5532068,18,17
5544033,18,17
5556047,18,17
5568061,18,17
5580070,18,17
5592054,18,17
5604071,18,17
5616041,18,17
5628048,18,17
5640064,18,17
5652070,18,17
5664063,18,17
5676061,18,17
5688034,18,17
5700061,18,17
5712063,18,17
5724047,18,17
5736085,18,17
5748021,18,17
5760020,18,17
5772053,18,17
5784022,18,17
5796053,18,17
5808063,18,17
5820068,18,17
5832023,18,17
5844056,18,17
5856053,18,17
5868054,18,17
5880066,18,17
5892030,18,17
5904037,18,17
5916038,18,17
5928065,18,17
5940061,18,17
5952064,18,17
5964045,18,17
5976040,18,17
5988023,18,17
6000071,18,17
6012026,18,17
